time,title,content
2026-01-05 09:09:30,盤中速報 - 集中市場加權指數上漲601.12點至29950.93點，漲幅2.05%,截至台北時間05日09:08，集中市場加權指數上漲601.12點（或2.05%），暫報29950.93點。   歷史漲跌幅    近 1 週：+1.87%  近 1 月：+5.59%  近 3 月：+9.67%  近 6 月：+30.17%  今年以來：0%    焦點個股   車用記憶體概念領漲+4.22%。其中 華東(8110-TW) 上漲 9.95% ; 旺宏(2337-TW) 上漲 9.92% ; 福懋科(8131-TW) 上漲 5.7% 。  轉單利多概念領漲+3.45%。其中 旺宏(2337-TW) 上漲 9.92% ; 華邦電(2344-TW) 上漲 5.62% ; 台積電(2330-TW) 上漲 2.84% 。
2026-01-05 09:00:05,南電(8046)2025年營收報喜高階載板漲價效益顯現、12月營收創近三年新高,2026年01月05日（優分析／產業數據中心報導）⸺ 受惠AI與高速運算需求強勁推升高階載板出貨，PCB載板大廠南電(8046-TW)（3）日公布2025年12月合併營收達39.24億元，月增11.02%、年增46.57%，創下自2023年3月以來新高，符合市場預期。全年營收401.73億元，年增24.44%，為歷史第四高，顯示公司自去年中啟動價格調整策略後，營運動能明顯回升。       南電面對上游T-Glass等關鍵材料供應緊張，2025年針對BT與ABF載板多次調漲價格，BT產品自第三季起調升10～25%，第四季再上調約10%；ABF自第三季起也陸續調價，預期今年首季仍有2～4%漲幅空間。法人指出，漲價主因包括材料成本高漲、高階應用需求擴增，以及南電於AI ASIC、800G交換器等關鍵專案中具備供應優勢，具備議價與成本轉嫁能力。   第四季營收達111.6億元，連續兩季站穩百億元大關，年增逾四成。法人分析，除價格效益發酵，年底客戶急單備貨也是推升12月業績的關鍵。產品結構上，ABF與BT載板分別占營收比重約50～55%、30～35%，主攻AI、網通、記憶體等高階應用，單價與毛利水準俱高。   值得注意的是，ABF與BT漲價背後反映供應鏈瓶頸。全球九成高階低熱膨脹係數玻纖布（Low-CTE Glass）由日本日東紡（Nittobo）供應，隨AI伺服器與資料中心建置加速，交期自8週延長至30週以上，價格亦大漲三成。Nittobo採穩健擴產策略，短期供給吃緊預料難解，對南電等高階載板廠商形成有利支撐。   展望2026年，法人看好南電營運可望延續成長軌道。一方面BT載板調價效益將延續，另一方面ABF受益於AI ASIC、800G、AI PC等應用擴增，出貨與ASP雙升。此外，原料緊張情況預計將延續至下半年，價格條件持續有利，公司亦加速推動多元材料認證與新世代載板量產，為今年營收與毛利添動能。   ※ 本文經「優分析」授權轉載，原文出處: 原文連結   ※ 免責聲明：文中所提的個股、基金、期貨商品內容僅供參考，並非投資建議，投資人應獨立判斷，審慎評估風險。
2026-01-05 08:55:38,美國突襲委內瑞拉對於台股會有影響嗎? 台積電、鴻海、緯創呢?,先給結論: 不會!!! 因為這不是突發事件，從 2024 年開始美國及西方很多國家已不承認委內瑞拉總統選舉後的統治地位，而雖然是產油大國但美國早就陸續實施經濟制裁，更重要的是現在讓股市上漲的是 AI，AI 的發展才是讓經濟持續成長的動力也是讓全球股市狂飆的關鍵!!   而上週五美股普遍上漲，尤其是費半指數大漲 4%，CPO 指標股邁威爾漲 5.1%，記憶體指標股美光更是狂飆 10.5%，台積電 ADR、輝達、AMD、英特爾整體表現也不錯，你就知道台股這一波絕對還沒有走完，更重要的是目前還在每年最會漲的 11、12、1、2、3 目前一月份才剛開始，還有整整三個月可以賺   另外，手上持股可以利用【關鍵一條線】做好汰弱留強且集中的動作，甚至大型權值 AI 如果有套住的建議也可以換股，不是說基本面不好 1/2 上週五 YouTube 節目也有完整分享 2026 年會有多棒，主要是股價漲的會比較慢以【2330 台積電】1/2 收盤價 1585 元計算，買進去要賺 30% 要漲到 2060 元，三月底要漲到實在不容易我認為年底才會有機會，因此資金就只有 500 萬只能選其中一個買，放大型權值 AI 六~ 十二個月 500 萬賺 150 萬，放中小型 AI 股二~ 四週就能達成，當然股性活潑風險也會相對高一點，但這部分我上週五 1/2 節目都有教大家如何克服，有興趣的朋友都可以參考   接下來每日最新飆股資訊請參考每天免費 Line 解盤文章!!   【楊育華分析師 LINE@粉絲團，享有即時精選個股分享】   點選以下連結即可加入:    https://lin.ee/fmIIRhL    【訂閱楊育華分析師 YouTube 頻道，有每天詳細的解盤影片】   點選以下連結即可加入:    https://www.youtube.com/channel/UCK1TfbeSlR0jc733Ep83Xfg    文章來源: 摩爾證券投顧 --- 楊育華分析師   本公司所推薦分析之個別有價證券無不當之財務利益關係以往之績效不保證未來獲利投資人應獨立判斷審慎評估並自負投資風險
2026-01-05 08:53:22,台積電下半週收黑? 鈞寶 方土昶 買點? 【旺宏第2】目標翻倍,"大來投顧陳彥蓉表示，美股受惠 CES 消費電子展即將登場，AI 需求商業化，加上資金寬鬆有再創高機會。台股受惠先進製程技術獨步，及報價調漲利多，AI 加持有續創高時候。資金需求持續引爆，台股機會多，要找補漲汰弱換強。新年開始，26 翻倍計畫，拚 2-6 天馬上急拉，六個月翻倍，名額有限盡速跟上！   預告 鈞寶 (6155-TW)，2 個月翻倍 100%。【鈞寶第 2】，即將發動目標翻倍，加 line 留言【777+2】索取。   私訊老師【Line ID】搜尋 @a178 或點下面連結加入    https://line.me/R/ti/p/~%40juk2515j    賀本欄前面預告南亞科 (2408-TW)，華邦電(2344-TW) 全翻好幾倍。最近廣播節目 YT LINE， 12/31 晚上 6:30,LINE 預告 光頡(3624-TW)，1/2 低到高 6% 收漲停! 好友如想領先於 前一天知道誰有機會連續長紅漲停? 1-2 個月後資金翻倍 100%? 歡迎點下面連接 加 LINE 留言 777+1 可領先得到提醒。    私訊老師或加 LINE  【Line ID】搜尋 @a178 或點下面連結加入    https://line.me/R/ti/p/~%40juk2515j     大盤行情看法  【本週大震盪台股 29700-30000 不追高 汰弱換強】   總體面看好，主計處看好今年 GDP 7.25% 以上? 台股基本面中線有支撐。國際盤觀測，道瓊與費半相對強勢反彈，高科技 NASDAQ 落後兩天左右。技術面觀察，台股與台積電 RSI 接近前高或過高，留意是否過高震盪慣性，且彥蓉自創 A 指標 0.04 也近前高 0.05，顯示有橫向震盪小漲或拉回可能。認為 29150 不破前仍有很多個股表現機會，但 29700-30000 不追高，資金轉入補漲股。記憶體 被動元件 碳化矽 IC 封測 光通訊 補漲亮點。    彥蓉做節目以真績效做節目，最近帶會員與留電話粉絲，12/12 至 12/31 全部會員只買 8 檔，大跌 1200 點，勝率百分百，全大賺 沛亨 20% 九豪 15% 方土昶 54% 福懋科 26% ，穎崴 430 萬 17%....200 萬跟單最多賺 70 萬以上。30 日新買 2 字頭旺宏 2 日鎖漲停，兩天又馬上急拉 12% 這些股票在本欄大部分都有預告。(過去績效不保證未來)。11 月收割 137% 勝率 90%，12 月收割 + 未收割 192%! 勝率 100%!    推出，【26 六千點翻倍計畫班】，買六送六，帶買短線 2-6 天急拉，六個月拚翻倍! 參加會員 留 【26 + 電話】，資金 500 萬以上，留言 【500 萬 + 電話】 歡迎點下面 LINE 連結留言給彥蓉 ，我們一起打拼。     私訊老師或加 LINE  【Line ID】搜尋 @a178 或點下面連結加入    https://line.me/R/ti/p/~%40juk2515j    #奇鋐 (3017-TW) #台光電 (2383-TW)，果然看到表格【小目標】預告連續拉回? # 緯創 (3231-TW) 果然如預告較強! 鴻海 (2317-TW)，廣達 (2382-TW)， 這三檔 200 萬兩個月賺 60-100 萬買點? 可以關注 表格中【小買點】，台積電本週大震盪下半週收黑? 以上六檔如何買賣? 點下面 YT 頻道訂閱連結訂閱彥蓉頻道，收看 5 日節目影片 第二段說明。或如下索取 66 大順表格按表操課。    前 100 名 留言 77 + 電話 (或 LINE ID) 直接索取。  歡迎點下面連結，加 LINE 留言 【77 + 電話或 LINE ID】索取。     私訊老師或加 LINE  【Line ID】搜尋 @a178 或點下面連結加入    https://line.me/R/ti/p/~%40juk2515j      鈞寶 (6155-TW)，方土昶 (6265-TW)，想了解這兩檔精準買點? 200 萬跟單將來兩個月後賺百萬嗎? 歡迎點下面 LINE 連結 留言 6155+1，6265+1。   私訊老師或加 LINE  【Line ID】搜尋 @a178 或點下面連結加入    https://line.me/R/ti/p/~%40juk2515j     熱門股追蹤    台積電 (2330-TW)  4 月 8 日提醒 790 以下買點，果然 10 張 700 萬到手。最近 1145 提醒買點又拉 380 元，1500 站穩續漲? 1550-1570 不追高? 歡迎加 LINE 留言 2330+1 索取研究報告掌握下個 300 萬機會？   鴻海 (2317-TW)  4 月 8 日提醒 115 以下買點，果然 10 張 100 萬入手。 最近提醒 195 附近買點又拉 70 元。217 如守穩續反彈? 235-240 小目標不追高? 歡迎加 LINE 留言 2317+1 索取研究報告掌握下個 100 萬機會？   鈞寶 (6155-TW)  電感廠，第三季累計每股盈餘 0.41 元。想了解關鍵研究報告，留言 6155+1   益登 (3048-TW)  被動元件通路，第三季累計每股盈餘 1.14 元。想了解關鍵研究報告，留言 3048+1   力積電 (6770-TW)  記憶體晶圓代工，第三季累計每股盈餘 - 1.71 元。想了解關鍵研究報告，留言 6770+1   至上 (8112-TW)  記憶體通路商，第三季累計每股盈餘 1.6 元。想了解關鍵研究報告，留言 8112+1   旺宏 (2337-TW)  30 日預告 今日漲停 帶會員買近兩天馬上急拉 12%，如關鍵價守穩仍有機會。記憶體晶片廠，第三季累計每股盈餘 - 1.62 元。想了解關鍵研究報告，留言 2337+1   康舒 (6282-TW)  電源供應廠，第三季累計每股盈餘 - 0.38 元。想了解關鍵研究報告，留言 6282+1   合晶 (6182-TW)  碳化矽，第三季累計每股盈餘 - 0.05 元。想了解關鍵研究報告，留言 6182+1   穎崴 (6515-TW)  IC 測試板 第三季累計每股盈餘 33.4 元。想了解關鍵研究報告，留言 6515+1   私訊老師或加 LINE  【Line ID】搜尋 @a178 或點下面連結加入    https://line.me/R/ti/p/~%40juk2515j    【短線台股資金聚焦】   東典光電 (6588-TW)，宜特 (3289-TW)，雙鍵 (4764-TW)，鈞寶 (6155-TW)，益登 (3048-TW)，九豪 (6127-TW)，創泓科技 (7714-TW)，旺宏 (2337-TW)，智崴 (5263-TW)，匯鑽科 (8431-TW)，創見 (2451-TW)，關鍵價如站穩才有轉強機會? (短線股風險大，自己操作請審慎評估，想了解轉強關鍵價，歡迎私訊老師)   私訊老師或加 LINE  【Line ID】搜尋 @a178 或點下面連結加入    https://line.me/R/ti/p/~%40juk2515j    鈞寶 (6155-TW) 兩個月翻倍 100%  【鈞寶 第 2】，目標 70% 以上，  歡迎加 LINE 留言 777+2 領取。   私訊老師或加 LINE  【Line ID】搜尋 @a178 或點下面連結加入    https://line.me/R/ti/p/~%40juk2515j                             2 日一分鐘 短影片連結    https://youtube.com/shorts/qnquVKgldsE    加入 line 粉絲團留言   私訊老師或加 LINE      【Line ID】搜尋 @a178 或點下面連結加入   https://line.me/R/ti/p/~%40juk2515j    訂閱 YT 影片   https://www.youtube.com/@vivian6688chenCHEN    訂閱 FB 頻道    https://www.facebook.com/share/g/12KL4f3EB4f/    諮詢專線 02-23659333   本公司所推薦分析之個別有價證券  無不當之財務利益關係 以往之績效不保證未來獲利  投資人應獨立判斷 審慎評估並自負投資風險"
2026-01-05 08:15:25,營收速報  - 南電(8046)12月營收39.24億元年增率高達46.57％,"南電(8046-TW)今天公告2025年12月營收為新台幣39.24億元，年增率46.57%，月增率11.02%。   今年1-12月累計營收為401.73億元，累計年增率24.44%。   最新價為237元，近5日股價下跌-1.46%，相關零組件業上漲0.34%，短期股價無明顯表現。   近5日籌碼     三大法人合計買賣超：-2834 張   外資買賣超：-3422 張   投信買賣超：+12 張   自營商買賣超：+576 張    近6個月營收一覽         月份   月營收   年增率   月增率           25/12   39.24億   47%   11%       25/11   35.34億   37%   -5%       25/10   37.06億   42%   5%       25/9   35.39億   19%   -7%       25/8   38.07億   23%   5%       25/7   36.21億   16%   16%        南電(8046-TW) 所屬產業為電子零組件業，主要業務為CC01080電子零組件製造業。CC01090電池製造業。ZZ99999除許可業務外,得經營法令非禁止或限制之業務。  註：數據僅供參考，不作為投資建議。"
2026-01-05 08:10:29,鉅亨速報 - Factset 最新調查：豐泰(9910-TW)EPS預估上修至5.2元，預估目標價為130元,"根據FactSet最新調查，共7位分析師，對豐泰(9910-TW)做出2025年EPS預估：中位數由5.16元上修至5.2元，其中最高估值6.46元，最低估值4.6元，預估目標價為130元。   市場預估EPS      預估值   2025年(前值)    2026年    2027年     最高值  6.46(6.46)  6.91  7.83    最低值  4.6(4.6)  5.57  6.15    平均值  5.32(5.28)  6.3  6.98    中位數  5.2(5.16)  6.46  6.74      市場預估營收      預估值  (單位：新台幣千元)    2025年    2026年    2027年     最高值  86,832,210  94,797,470  103,838,180    最低值  81,543,010  82,321,620  87,258,820    平均值  84,505,850  88,671,760  95,632,200    中位數  84,203,190  88,966,890  95,612,660      歷史獲利表現      項目   2024年    2023年    2022年    2021年     EPS  5.94  5.04  10.3  5.15    營業收入  (單位：新台幣千元)   87,487,470  85,767,264  95,902,924  70,349,864     詳細資訊請看台股內頁：  https://www.cnyes.com/twstock/9910/financials/ratios   資料來源：Factset，數據僅供參考，不作為投資建議。"
2026-01-05 08:06:01,美光、華邦電、南亞科大漲只是前菜！2026 AI 落地倒數，真正接力暴衝的是這兩大族群,"很多投資人最近私訊問我：「老師，台股都衝到快三萬點了，現在進場會不會變成最後一隻老鼠？」「美光 (MU-US) 漲成這樣，華邦電 (2344-TW)、南亞科(2408-TW) 我還能追嗎？」   江江先講結論：如果說 2024、2025 年大家還在猜 AI 到底能不能賺錢，那麼 2026 年就是 AI 軟硬體真正開始「數鈔票」的 AI 工業革命落地商用化元年。根據台新投顧與各大法人的最新展望，2026 年台灣企業獲利預期成長將高達 22%。加上我們正處於「金髮女孩經濟」（Goldilocks Economy）的加持下：全球降息循環已經定調，熱錢正源源不絕地從銀行流向資本市場。你就知道，AI 這場戲才剛進入高潮。這也是為什麼江江會喊出台股上看 36,000 點的邏輯。   重點來了！當記憶體這支先鋒部隊已經跑出驚人漲幅後，誰會是接下來的「接力強棒」？答案就在這兩個族群：「二奈米設備」 與 「被動元件」。    第一棒：跟著「富爸爸」台積電吃香喝辣的設備股    台積電預計在 1/15 的法說會上調高 2026 年資本支出，法人圈預期數字會落在 420 億至 450 億美元 的歷史新高。這代表什麼？代表台股的護國神山為了因應 2 奈米以及 A16 製程，還有供不應求的 CoWoS 封裝，正瘋狂砸錢買設備。    核心標的拆解：    華景電 (6788-TW)：它在 2 奈米製程的 AMC（微污染防治）設備市佔率正逼近 100%。以前這種設備是選配，但在先進製程，它是「沒裝不敢開工」的標配。法人預期 2026 年其 EPS 有望挑戰 22 元以上，甚至有機會衝擊 30 元。   「G2C 聯盟」三劍客： 均豪 (5443-TW)、均華 (6640-TW) 與志聖 (2467-TW)。志聖先進封裝爆發，CoWoS 月產能年底衝 12 萬片。均豪其 CMP（化學機械平坦化）設備訂單能見度已經看到 2026 年底。而均華則是先進封裝挑揀設備的龍頭，只要 CoWoS 需求不墜，它就停不下來。   先進製程守門員： 弘塑 (3131-TW) 專攻濕製程設備，家登 (3680-TW) 則是光罩載具的壟斷者。另外像 帆宣 (6196-TW) 承接廠務工程，達興材料 (5234-TW) 與 新應材 (4749-TW) 則是在先進封裝材料端默默發大財。   再生晶圓領頭羊： 中砂 (1560-TW) 與 昇陽半 (8028-TW)，隨著晶圓投片量暴增，消耗品的需求會呈現「線性成長」，是穩健投資人的首選。    第二棒：複製「缺貨漲價」神話的被動元件    如果你問我，哪一個族群最有機會複製記憶體那種「一覺醒來又漲價」的模式？答案絕對是被動元件！   大家可能覺得 MLCC（積層陶瓷電容）這種小東西不值錢，但你聽聽這個數字：輝達 (NVDA-US) 的 GB300 平台，單一個 AI 機櫃對 MLCC 的需求量高達 3 萬到 4 萬顆。這是智慧型手機的 30 倍！    為什麼 2026 年是被動元件年？    原物料暴漲： 2025 年底銀價大幅飆升，這對被動元件商來說是最好的「漲價藉口」。   龍頭喊漲： 龍頭廠 國巨 (2327-TW) 已經在 2026 年元旦正式啟動磁珠漲價，這是近半年來的第三波調價。這就是產業爆發的前兆：「供需失衡，賣方市場」。   關鍵佈局名單：   國巨 (2327-TW)： 大象也會跳舞。在併購效益顯現後，國巨現在是全球唯一同時擁有電阻、電容、電感三大競爭力的霸主。   轉折黑馬股： 九豪 (6127-TW)。如果你喜歡那種短小精悍、跑得快的，九豪在陶瓷基板的轉折點上已經站穩，最近的走勢很有「飆股」架勢。   高壓大電流需求： 華新科 (2492-TW) 與其旗下的 信昌電 (6173-TW)，專攻軍工與車用高階市場，避開了低價競爭。   利基型強將： 立隆電 (2472-TW)（固態電容）、凱美 (2375-TW)（電阻 / 風扇）、勤凱 (4760-TW)（導電漿料）、光頡 (3624-TW)（精密電阻）。這些公司在 AI 伺服器電源端的滲透率正快速提升。   當你看到台積電資本支出不手軟，你買設備股就是買一份「穩定營收」；當你看到輝達伺服器一個接一個賣，你買被動元件就是買一份「成長紅利」。如果說 2024 是 AI 的夢想，2025 是 AI 的建設，那麼 2026 就是 AI 的收穫。 這一棒，你準備好接手了嗎？   更多產業趨勢報告 + 盤中訊息→請加入江江 Line@：    https://lin.ee/vTaRqlQ    江江每日解盤影片→含金量滿滿，節目內容太精彩 + 太權威惹！   堅持用心製作優質好節目，一定要看到最後！   並且【訂閱 + 按讚 + 分享幫助好友】        文章來源：摩爾投顧－江國中分析師   本公司所推薦分析之個別有價證券無不當之財務利益關係以往之績效不保證未來獲利投資人應獨立判斷審慎評估並自負投資風險"
2026-01-05 08:03:13,【台股投資週報】CES+台積電法說登場，大戶鎖碼三大產業,台股 2026 開紅盤，在台積電開高走高，收盤大漲 35 元，以 1585 元高點作收領軍之下，指數開高走高，盤中最高來到 29363 歷史新高點，收盤指數大漲 386 點，以 29349 點作收、站上 2 萬 9 千點大關，成交量也一口氣放大至 6488 億元，呈現價漲量增格局，2026 新年開紅盤，就有了個好彩頭。   指數大戶翻多，元月有機會再攻一波   上期投資周報中，運達投顧總經理高憲容分析師表示，觀察到台指期前五大戶轉為多方勝出 (淨多單 4201 口)，似乎大戶對後市行情轉趨於積極，有助於發動元月行情往上再漲一波。元月份外資買盤歸隊，大盤量能開始回溫，加上 1/6 有 CES 消費電子展、1/15 有台積電法說陸續登場，台股將有機會發動一波元月紅包行情。突破 28568 之後，有機會挑戰 30700（28568＋2100）。   果然開紅盤加權指數就大漲 386 億元，成績量也放大至 6488 億元，元月行情一開始就有了個好彩頭。   回顧 2025 年，台北股市先在第一季高檔震盪盤旋，當時高憲容分析師提醒大家仍要提防 B 波反彈過後，會有 C 波回檔下跌，建議多保留現金。後來股市果然開始 C 波回檔，更在清明節過後川普對等關稅造成全球股市重挫，引爆融資斷頭賣壓支下，一口氣跌至 17306 低點，共計回檔 6600 點。   當時高憲容分析師提到：大盤連續爆量長黑 (連兩天爆量 5000 多億)、融資大減（單日融資大減 284 億）、外資空單開始回補 (單日回補 2200 多口)，技術面底部訊號再度出現，建議大家買進 0050、00620 等市值型 ETF。隨後再一路上漲至今天封關的 29009 高點，共計大漲 11700 點。當時帶著大波段會員 400 多元佈局的台光電、漢唐，也一路抱到 1000 多元才獲利了結，可說成果豐碩的一年。       展望 2026 年，AI 基礎建設需求仍然強勁，提供 AI 類股股價持續走多的成長動能；但也面對著川普對等關稅有可能被聯邦法院判決違法、FED 主席鮑爾即將卸任、以及 AI 相關股價已經漲多等三大變數。研判指數多頭看似仍未結束，但也不容易再像去年一口氣大漲 11000 點，有可能會是一個又一個的箱型震盪。       加入憲容老師 Line@好友，每天領取盤前叮嚀、每日五檔熱門焦點股：    https://lin.ee/AD7JPeR     大戶加碼：設備材料、PCB、記憶體    指數一個一個箱型來回震盪，波段行情就一段一段來掌握。賺錢關鍵仍在個股表現，波段操作仍要做好汰弱留強的工作。持股若跌破支撐防守點、該賣就賣，紀律化操作、嚴控風險。   波段操作仍要步步為營，慎選兼具成長＋存股價值好公司，才能買得安心、抱得放心，最後賺得開心。   高憲容分析師本周持續追蹤大戶籌碼，發現大盤指數這兩週劇烈上沖下洗，但持續加碼半導體相關設備及材料（德律、帆宣、晶彩科、博磊、漢科、揚博、台特化、中砂、昇揚半）、記憶體（群聯、鈺創、晶豪科、威剛、十銓、愛普 *)、IC 封測 (京元電、超豐、福懋科、精材)...... 這三大產業，大戶持股有明顯加碼動作，投資朋友不妨多加留意其中具有成長＋存股價值的好公司，繼續把握元月行情賺紅包的機會。        結語：賺錢機會要把握、風險意識不可少    加權指數再創歷史新高，但大箱型震盪格局，創新高後隨時也有可能再度回檔。   對於想要在股市賺錢，卻又擔心股市漲多回檔、甚至 AI 泡沫破滅風險的投資朋友，高憲容分析師建議，可採取盤中滿手、盤後空手快打當沖作戰。   用當天進出、嚴格控制風險，不必擔心重壓留倉、會不會遇上美股崩跌。並且用有紀律的短線操作、更能達成長期而穩定的獲利績效，可說是不必擔心大盤是否漲多回檔，又能穩健累積財富的最佳操作策略。   文章來源：運達投顧 高憲容分析師 極品操盤團隊   憲容老師 Line@：    https://lin.ee/AD7JPeR    加入好友，每天領取盤前叮嚀、每日五檔熱門焦點股   憲容老師每日解盤影片    https://www.youtube.com/@168team    台股專業分析、當沖實戰教學、產業觀點、新聞解讀   記得【訂閱 + 按讚 + 分享 + 開啟小鈴鐺】       憲容老師 FB 粉絲團：   https://facebook.com/YourBestTeam    2026.1.2【台股盤前一分鐘】高憲容帶您一分鐘掌握台股盤前重點＆熱門焦點股    https://youtube.com/shorts/Qz_XAm5dMx0    本公司所推薦分析之個別有價證券無不當之財務利益關係以往之績效不保證未來獲利投資人應獨立判斷審慎評估並自負投資風險
2026-01-05 07:44:28,川普出手油價崩！資金行情來了，這族群快上車,台股大盤：美股科技巨頭助攻，經濟數據成攻頂關鍵 回顧上周五晚間，美股科技股氣勢如虹，記憶體大廠美光（Micron）、台積電 ADR 及日月光 ADR 全面大漲，這股強勁的半導體多頭氣勢將直接傳導至台股，預期本周加權指數將持續挑戰歷史新高。短線上，多頭攻勢能否延續的關鍵指標，在於本周三（1/7）公佈的「小非農」ADP 就業數據，以及周五（1/9）的非農就業與失業率數據。若數據能符合市場預期，顯示經濟軟著陸態勢不變，美股勢必再次領軍衝鋒。在此提醒投資人，面對如此明確的多頭趨勢，千萬別犯了「懼高症」而預設高點，市場往往在猶豫中上漲，「感覺漲多」並非賣出理由。記住，趨勢對了，今天的高點往往是明天的低點，務必堅持做多思維，才能擁抱波段獲利。   個股聚焦：AI 浪潮外溢，IP 矽智財與設備廠接棒 台積電 ADR 上周五大漲 5.1%，確立了台積電將是本周帶領台股再創高峰的總司令，其供應鏈與半導體族群將雨露均霑。 首要關注台積電轉投資的 IP 矽智財龍頭創意（3443），受惠於 Google Gemini 模型大受歡迎，推動雲端大廠（CSP）對自研 AI 晶片 TPU 的需求激增，帶動 NRE（委託設計）與 Turnkey（量產）業務爆發，營收已連續三個月創高。同樣受惠於 ASIC（客製化晶片）趨勢的聯發科（2454）與世芯 - KY（3661），在先進製程開案量持續看增下，長線動能無虞。   此外，半導體設備族群經過整理後，已有逐底成形之勢。中砂（1560）作為台積電 2 奈米鑽石碟主要供應商，市佔率持續擴大；達興材料（5234）切入半導體先進封裝材料驗證，今明兩年將進入收割期；弘塑（3131）則受惠 CoWoS 產能持續擴充，濕製程設備訂單能見度已達年底。這些個股兼具基本面支撐與技術面轉強契機，本周皆值得投資人密切留意。   更多細節與財報數據，請參考本週周報，點擊連結加入 LINE，直接索取。   ➤鼎極操盤手 何基鼎 LINE 粉絲團    https://lin.ee/iuxMCJU        本公司所推薦分析之個別有價證券無不當之財務利益關係以往之績效不保證未來獲利投資人應獨立判斷審慎評估並自負投資風險
2026-01-05 06:40:04,台灣股市高度集中AI風險大！彭博：2026年AI泡沫擔憂和政策分歧籠罩亞洲股市,"亞洲股市在新年開局大幅上漲，但這波漲勢可能面臨阻力，原因包括市場對人工智慧（AI）泡沫的擔憂，以及區域內利率政策走向出現分歧。   根據《彭博》報導，雖然中國晶片廠商較低的估值以及北京推動科技自主的政策，為市場提供了一定緩衝，但亞洲與全球 AI 供應鏈的緊密聯繫，使其容易受到華爾街劇烈波動的影響。   隨著去年 MSCI 亞洲股指表現超越全球同業近五個百分點，創下自 2017 年以來最強的相對表現，該產業已成為投資者關注的焦點。   該報指出，政策分歧將是另一個關鍵驅動因素，中國和印度的政策專注於成長，而日本、澳洲和紐西蘭則傾向於抑制通膨。   與此同時，資金可能開始輪動至那些表現落後但被認為較能抵禦外部衝擊的市場。若市場改革動能持續，可能進一步去年表現突出的南韓股市。   《彭博》指出，2026 年亞洲股票投資者需要關注有的五個領域。   AI 熱潮持續吸引資金   去年，投資者對人工智慧（AI）的狂熱是推動亞洲股市超越全球同業表現的主要因素。這股熱情延續到新年，上週五更推動區域資訊科技指數創下歷史新高。   雖然部分人認為亞洲市場因估值較低，是投資 AI 的較佳選擇，但也有人指出，台灣與南韓等市場少數大型科技公司高度集中，風險更為明顯，隨著漲勢延續，市場波動可能加劇。   Eastspring Investments 香港亞洲股票投資組合專家 Ken Wong 表示：「我們認為這更多是 AI 疲勞，而非泡沫。」   不過，他指出，如果整體 AI 資本支出回落或收益增長動能開始惡化，市場將面臨一定風險。   中國科技自主帶來新機遇   儘管華爾街對 AI 的狂熱仍持謹慎態度，但隨著中國加倍推進技術自給自足，人們對中國晶片製造商的樂觀情緒日益高漲。   北京正在考慮推出總額高達 700 億美元的激勵方案，以支持半導體產業發展。   投資者的熱情在近期沐曦股份 ( 688802-CN ) 和摩爾線程 ( 688795-CN ) 的亮眼掛牌中表露無遺。強勁的市場需求也促使同業公司爭相在股市籌資、排隊上市。   中國科技股的吸引力也源自於其較低的估值。以香港上市股票的關鍵指標來看，其前瞻市盈率約為 19 倍，而納斯達克 100 指數則為 25 倍。   美國利率政策分歧成關鍵變數   美國聯準會（Fed）的政策前景，目前預期在 2026 年將降息兩次，將持續影響亞洲的資金流向與風險情緒。   《彭博》指出，若美國實施貨幣寬鬆，也將為從印度到泰國等國的央行提供下調借貸成本、刺激經濟成長的空間。   相對地，日本央行面臨更大升息壓力，以抑制通膨及日元過度貶值。紐西蘭央行也暗示其可能已結束降息，而市場對澳洲央行轉向緊縮政策的預期也在上升。   Pepperstone Group 研究策略師 Dilin Wu 指出：「印度持續的低利率環境可能為其股市帶來溫和的順風，而泰國、馬來西亞，甚至中國進一步的寬鬆政策，也可能提振股市。」   他表示：「整體而言，政策彈性大、盈利韌性強的市場與產業將是贏家，而高槓桿或利率敏感的資產則面臨更大壓力。」   市場輪動與落後股復甦   隨著部分投資者將資金從美國資產及過度擁擠的 AI 交易中撤出，他們開始布局表現落後的市場復甦。   印度 NSE Nifty 50 指數在 2025 年上漲 10.5%，落後於 MSCI 亞太指數，創下自 1998 年以來最大的差距。   市場預期，降低消費稅與降息將有助改善企業盈利，推動趨勢反轉。   同時，也有投資者看好印尼可進一步受益於政府的刺激政策。整體而言，東南亞去年表現落後於大區域市場。   Aberdeen Investments 基金經理 Xin-Yao Ng 表示：「印度與東協市場的有趣之處在於它們與 AI 無關，而且部分市場過去表現落後，因此存在投資價值。好的標的應具備現金流穩健、對宏觀與政治因素依賴較低，並且具有高股息收益。」   韓國股市聚焦 AI 與改革動能   焦點同樣落在南韓。受益於 AI 熱潮以及市場與企業改革的樂觀預期，去年南韓股市大漲 76%，領先全球。   基準 KOSPI 指數上週五再漲 2.3%，收於 4,300 點以上，朝總統李在明設定的 5,000 點目標邁進。   AI 持續為南韓晶片龍頭提供順風。隨著共同執行長表示，客戶回饋「三星回來了」，三星電子上週五再創新高。   這股動能也獲得韓國最新數據支持，12 月半導體出口較去年同期大增 43%，凸顯三星與 SK 海力士在全球 AI 浪潮中的核心地位。   下一波牛市能否持續，還將取決於政府進一步改善企業治理的努力，以及推動小型股發展的相關措施。   （本文不開放合作夥伴轉載）"
