time,title,content
2026.01.15 03:00,完成芝浦合併 國巨股價帶量狂飆,"日本芝浦電子13日於日本下市，成為國巨*旗下全資子公司，替國巨集團在日本併購的起手式劃下完美句點，國巨14日上演慶祝行情，股價帶量狂飆近7％，收盤價278.5元，創下股票分拆以來新高價位，2026年國巨將全年完整合併芝浦營收，挹注集團成長動能。
根據證券交易所盤後統計資料，國巨14日一舉衝上大盤成交第二大個股，單一檔國巨成交值高達365.84億元，僅次於主動元件龍頭台積電的567.91億元，成交量13.22萬張，也創下股票分拆以來最大量能，隨著龍頭股國巨股價登高，被動元件族群集體展現補漲氣勢，至少9檔被動元件股亮燈鎖死至終場，涵蓋輝達供應鏈、台達電供應鏈、BBU供應鏈等。
日媒稍早引述芝浦電子1月9日宣布，1月13日自日本下市，成為國巨旗下全資子公司，芝浦最後一個交易日股價以7,110日圓收盤，而芝浦已在2025年第四季與國巨合併報表，2026年將全年完整貢獻國巨營收，估全年可望挹注國巨新台幣60億元左右。
國巨日前公告去年12月營收，無懼於年終盤點干擾，12月營收以123.51億元連續第二個月攻頂，2025年全年、第四季營收悉數創下歷史新高紀錄，隨著2026年完整合併熱敏電阻龍頭芝浦電子、高階產品持續提高AI滲透率，加上潛在的漲價效應，法人看好國巨2026年營收可望續締新猷，去年度獲利突破一個股本無虞。
國巨2025年營收達1,329億元，連續第二年攻頂，較去年成長9.25％。國巨目前在鉭質電容、晶片電阻上均為全球第一大，於積層陶瓷電容（MLCC）排名全球第三，其中鉭質電容幾乎全產能稼動，即使擴產仍然供不應求，隨著GPU伺服器、ASIC伺服器將其大量應用在AI機櫃中，國巨的全球市占率超過40％，穩居全球第一，法人看好國巨龍頭廠地位，擁有訂價的話語權。"
2026.01.15 03:00,台積法說倒數！外資狂拉目標價 大摩為何還點名兩家二線晶圓代工廠？,"晶圓代工龍頭台積電法說會重磅登場，內外資研究機構於法說會前幾乎全部調升目標價，迄今下好離手，就等台積電對未來展望與資本支出計畫等重要訊息更新。法說前夕，摩根士丹利證券不但二度調高台積電股價預期，還同步升評世界、降評聯電，並端出晶圓代工族群多空操作策略，可說別出心裁。
本波台積電目標價調升潮不僅相當熱鬧，花旗環球、調研機構ALETHEIA、高盛證券等賦予的股價預期，都追平或超越台積電股票代號2330，早早就炒熱話題熱度，更「有始有終」由摩根士丹利拉響第一炮調升到1,888元，也由摩根士丹利在法說前夕壓線二度調升至1,988元作為結尾。另外，觀察各大內外資最新出具的目標價，台積電股價上看2字頭無疑成為共識。
摩根士丹利證券半導體產業分析師詹家鴻指出，台積電在全球晶圓代工市場中具備壓倒性領先地位，預期台積電2026年營收占產業總體營收約70％。此一領先地位顯示，台積電的產能擴張與整體產業成長、自身營收走勢之間，存在高度正相關。
歸納內外資研究機構預期，台積電2025年第四季每股稅後純益（EPS）約落在18元左右，今年第一季在營收有望不退反增的情況下，EPS也可能保持在相仿水準，等於淡季不淡。
半導體產業知名分析師陸行之預期，台積電2026年資本支出約460億～500億美元，但資本密集度沒有什麼惡化，同時，因2奈米製程營收與折舊還沒大量認列，加上先進製程漲價，上半年毛利率可能比市場預期的59％～59.5％高。考量在手現金充裕、獲利增長與資本支出程度，看好今年下半年起每季現金股利有機會上升至7元或以上。
針對二線晶圓代工領域，大摩也趁台積電法說前，領先做出調整，一面升評世界至「中立」、終結悲觀看法，一面降評聯電至「劣於大盤」。
詹家鴻指出，台積電已於2025年新增每月約2萬片的55、65奈米製程產能，以支應中介層生產，顯示AI半導體需求依然強勁。在此環境中，預期台積電將把40～90奈米製程的客戶轉介至關係企業世界。若世界證明其在相關製程的量產能力，並通過台積電的製程資格認證，未來有取得更多12吋晶圓訂單的潛力。
反觀遭降評的聯電，大摩認為，市場對來自台積電外溢訂單的期待略顯樂觀，就算真有新增訂單貢獻營收，亦可能受消費性產品需求疲弱所抵銷。"
2026.01.15 03:00,台積電單月飆漲10％頻創高價怎進場？名師曝法說後加碼時間點,"護國神山台積電重量級法說會15日亮牌，扮演科技業新年度趨勢風向球。法人預期，台積電法說釋出利多機率高，惟因其股價領先大漲，恐使法說會後震盪加劇，屆時將是投資人進場布局的大好機會。
台積電法說前股價先行衝高，單月飆漲10.32％、刷新1,720元歷史高，14日在市場觀望氛圍升溫下維持平盤1,710元震盪。
富邦投顧董事長陳奕光、華南投顧董事長呂仁傑、國泰證期顧問處經理蔡明翰分析，市場對台積電15日法說會關注五大重點，包括2025年獲利數據及2026年獲利展望、2026年資本支出規劃、未來幾年漲價策略、2奈米與3奈米何時呈現黃金交叉及市場傳聞的美國擴廠相關計畫。
目前市場預期，台積電今年首季獲利將維持與2025年第四季相近水準，2026年獲利預計成長20％～25％，而資本支出則預估落在450億～500億美元，並看好未來三～四年可能維持每年5％～10％的價格調漲幅度，給予相對高的期待。若要超越預期，則首季需繳出季增的財測、資本支出突破500億美元大關，2、3奈米也要在第四季前出現黃金交叉，是不小的挑戰。
由於台積電元月以來漲勢強勁，短線漲多乖離率拉高，名師均研判，儘管台積電法說會釋出展望優於預期，後續股價震盪仍會擴大，16日早盤股價衝高後恐湧現獲利了結賣壓。不過，儘管面臨利多出盡壓力，在今年目標價上看2,000元的底氣下，仍有機會在短暫整理一周後再度轉強，投資人可趁法說後股價回檔時進場加碼。
陳奕光也表示，台股驚驚漲行情可望延續至3月初，但後續僅有約500點上漲空間，未來加權指數走勢將轉向高檔震盪，由中小型題材股輪動表態。近期外資、投信頻頻調節，僅自營商站買方積極作多，建議投資人可留意自營商何時出現明顯由買轉賣的操作，預期就是本波行情反轉的時機點。"
2026.01.15 03:00,AI粽子效應續發威 台股30千金勝券在握,"蛇年擺尾行情一發欲罷不能，股王信驊14日再度展開攻勢，一早衝上8,350元、收8,085元，雙寫盤中及收盤新高，亞德客-KY也重返千元，成為第29檔千金股，盤中並首見32檔千金股，均寫下歷史性的一刻。
AI股題材旺，紛紛向千元集結，挾小股本、高獲利成長、高獲利，獲得外資法人買盤青睞，加上近來盤中零股交易便利性提高、小資族定期定額發揮螞蟻雄兵的力量，在在都讓台股千金股快速成長。
事實上，若不是多檔千金股股票分割，這波千金股家數應已上看40家。2025年已預測台股千金不只30千金，將有機會上看35千金的富邦投顧董事長陳奕光指出，這個粽子效應（一串串增加）會持續。
此外，台新投顧副總經理黃文清也看好千金股及高價股未來走向，因為高價通常代表成長性強，也多數是AI相關個股。
14日盤中還有雙鴻、致茂、印能科技股價攀升至千元，使得台股首見一天之內閃現32千金的盛況。其中致茂是首度攻上千元、最高至1,005元。
雙鴻、致茂、印能科技最後收盤都未守住千元，加計勤誠等四檔，股價都收在970～992元價位，蓄勢戰千元大位。台股蛇年拉尾盤，法人預期，30千金勝券在握。
台新投顧統計，距離蛇年封關2月11日正式進入倒數20個交易日，統計過去15年，農曆年封關前20日漲率達80％，12次上漲平均漲幅高達2.86％，3次下跌平均跌幅2.87％。
另外，封關前十日、五日及封關當日，近15年上漲機率也各為73％、73％及80％，平均漲幅各為2.22％、1.65％及0.34％；下跌機率各17％、17％及20％，平均跌幅各為3.38％、2.45％及0.86％。"
2026.01.15 03:00,投信連賣台股14天 華新等18檔逆勢狂買 這檔半導體幾乎天天都上榜,"台股屢創新高，投信法人近期則呈現高檔調節，連續賣超天數拉長到14日，期間共賣超671.79億元。不過，盤面則有華新（1605）、環球晶（6488）及國巨*（2327）等檔換手買超股，成為吸金指標。
萬寶投顧董事長朱成志指出，台股多頭行情延續，類股輪動快速，外資連兩日買超，但投信連續賣超來到第14天，相比2025年買超1,055億元，在高檔區間已賣超逾6成幅度，而目前仍是內資主導盤，後續關注台積電法說後，是否帶動新一波外資回補潮，推升AI周邊類股表現。
富邦投顧董事長陳奕光表示，投信進出部分來自於ETF，在指數換股調整及主動式ETF規模擴大，使得近期投信買賣力道出現較大金額。整體來看，預料2026年還有15～20檔掛牌上市，推算規模達1,200～1,500億元，有利台股資金動能，投信加碼股也成多方重要指標。
統計在投信持續提款壓力下，反倒逆勢獲得連續買盤進駐的個股，包括華新、環球晶、國巨*及景碩等18檔，連續買超天數在5～13日之間，股價上攻動能強勁。
市場預期AI PC高規格電感、電容將帶動平均單價提升，吸引資金進場布局被動元件與石英元件，帶動投信買盤進駐，投信連11日加碼國巨*，期間增持32,258張。
此外，電機機械與重電強韌電網題材相關類股為市場強力主流，受惠2026年政府啟動強韌電網計畫2.0高峰期、美國基建帶動變壓器出口需求依然供不應求、台電預算持續追加、AI資料中心對電力穩定性高度依賴等利多，重電業者訂單能見度可看到一年後，華城獲投信連6日積極加碼，14日股價強攻漲停。
群益投顧認為，市場對台積電法說會抱持既期待又怕受傷害心理，導致資金從權值股暫時撤出，轉往具有低位階、題材性或產業復甦邏輯的族群，呈現台積電休息、中小型股跳舞格局。"
2026.01.15 03:00,美關稅傳降 重電四雄敗部復活,"美國對台關稅再傳髮夾彎，傳美方鬆口有望降至15％且不疊加，之前因關稅被打落地獄的重電族群敗部復活，挾著去年營收連袂創下歷史新高的利多夾帶關稅喜訊，重電四雄包括華城（1519）、士電（1503）、亞力（1514）攻上漲停，中興電（1513）雖未亮燈，但漲幅亦達6.8％，順利重返人生勝利組。
AI快速成長，各國陸續強化電網與電力基礎建設，推升重電需求大幅成長，帶動重電族群營運表現，重電四雄2025年營收同步繳出佳績，經結算，華城2025年營收244.23億元，年增20.89％，年增率居冠，依序為亞力2025年營收105.54億元，年增19.55％；中興電2025年營收274.46億元，年增7.17％，士電2025年營收371.77億元，年增6.01％，儘管四雄年增幅不一，但連袂創高的腳步卻相同。
除了營收創高增添人氣外，美國對台關稅鬆動，有望降至15％且不疊加也被視為大利多，法人指出，重電台廠若能與日韓關稅比美，同步降至15％，在關稅競爭差距快速拉近下，被認為受惠最多的重電股可望鬆了一口氣，大喊訂單回流在望。
法人指出，重電業者銷美比重不低，以華城為例，其外銷業務中，核心客戶涵蓋美國17個州，2025年前11月外銷占比超過55％。若以原定的20％的關稅估，華城部分須負擔關稅約6％，如今關稅若得以降至15％，對2025年營收創高的華城來說，無異是如虎添翼。
至於士電部分，目前外銷比重稍低，約20％，再加上去年關稅驟起，主要客戶已同意已簽約接單並規畫在2025年第三季及第四季交貨的部分，會全額吸收關稅，至於2026年起至2028年間交貨的訂單，亦經雙方協商，願與士電各自吸收一半，如今傳來關稅調降的利多，不論對客戶或是士電來說都是大利多。"
2026.01.15 03:00,摩通壓寶 欣興獲利三級跳 2年看增4倍 價量齊揚股價戰高位,"摩根大通證券指出，欣興（3037）在輝達AI HDI量產近期已出現明顯進展，欣興在台灣的先進HDI廠將加速達成損平，化解市場疑慮，且附加費／產能預約費可能重現江湖，未來二年每股稅後純益（EPS）可望大增400％以上，將推測合理股價升至市場新高的347元。
外資估算，欣興隨新設備到位、人力配置調整逐步發揮成效，AI HDI轉盈速度快於預期帶動下，獲利將呈三級跳，2025年EPS為4.1元，即是最後谷底，2026年EPS將大增260.9％、來到14.79元，直接比前年度多賺一個股本，2027年EPS再上看21.36元，達成每股賺進二個股本里程碑。
受到摩根大通證券調升財務預期帶動，國際資金12日大力買超欣興1.4萬張，激勵股價強7.98％，終場收243.5元，即將挑戰261元的歷史高位。
摩根大通證券預料，欣興在台灣的先進HDI廠過半產能可望提前達到損益兩平，時間點較原先預估提前約2～3個月。若此進步速度得以維持，欣興AI HDI業務最快第二季起可以繳出高於公司平均水準營業利益率成績單，有助消除市場對AI HDI拖累整體毛利率與獲利復甦的疑慮。
值得注意的是，當市場都專注在BT、ABF漲價效益開始逐步反映，且未來幾季將成為主要驅動毛利率上升因子之際，摩根大通觀察到另一項關鍵變化：附加費／產能預約費可能重新登上檯面，這代表在供給趨緊情況下，客戶為確保產能必須支付額外費用。
不同於以設備投資或工具補貼形式給付的資本支出補貼，產能預約費是直接在銷售金額之外、額外支付給載板廠商的現金收入，對獲利貢獻極為顯著。"
2026.01.15 03:00,景氣將回溫 自行車雙雄法人升評,"受惠台美對等關稅有望下調至15％，加上歐美市場庫存水位逐步回歸健康區間，自行車業景氣可望落底回溫，法人評估產業已進入轉折階段，同步調升雙雄巨大（9921）、美利達（9914）投資評等至「買進」，目標價上修至百元以上。
在利多題材激勵下，自行車族群14日股價全面走揚，巨大、美利達在外資買超加持下，股價分別上揚4％至5％。
法人表示，自行車產業近二年持續承壓，主要受到歐美市場去化庫存進度不如預期，及大陸內需市場降溫影響，2025年無論整車廠或零組件廠營運均下滑，其中巨大2025年合併營收602.65億元、創近七年新低，美利達267.35億元、年減9.82％，雙雄股價也同步下探近15年低點。
不過本土投顧分析，隨著品牌商加大促銷力道、積極去化庫存，目前自行車產業庫存水位已接近健康區間，特別是占巨大、美利達營收比重分別達3成與4成的歐洲市場，需求正逐步回溫，成為產業復甦的重要支撐。
美利達表示，主攻歐美外銷市場的台灣廠，2025年銷售量為36.78萬台、年減約3％，但在高階車款出貨比重提升、平均銷售單價上揚帶動下，台灣廠全年營收達193億元、年增6％，顯示歐美市場需求已有改善跡象；惟大陸市場買氣仍顯疲弱，短期復甦動能有限。
巨大方面，自有品牌在歐洲的營運亦已出現回穩訊號，2025年12月營收呈現微幅成長，其中英國、德國與義大利市場年增幅均超過3成，歐洲自有品牌銷售已連二月轉為年增；此外，庫存跌價損失亦連續兩季反轉，當地經濟活動與消費信心正逐步修復。
法人指出，雖然歐美市場庫存仍在持續調整，但大陸市場的不確定性仍高，預期2026年銷售可能進一步下滑；不過，大部分利空因素已反映在股價中，對自行車業者獲利的衝擊可望逐步減緩。"
2026.01.15 03:00,證交所普惠金融成效佳,"證券市場不僅是資金運作的平台，更應成為全民理財的一部分。為落實普惠金融政策，臺灣證券交易所於106年1月推動證券商得辦理客戶定期定額方式購買股票與ETF，並於109年10月推出盤中零股交易制度，成為普惠金融成長雙引擎，大幅降低投資門檻，讓更多的小資族能輕鬆進入資本市場。
證交所指出，這一創新措施成功擴大市場參與，不僅拓寬了投資者的選擇，也讓理財變得更加普及，成為普惠金融的重要實踐。
證交所統計，推動證券商開辦定期定額業務至今已邁入第十年，截至114年12月止，定期定額投資股票及ETF之累積金額近6,000億元，呈現穩定成長趨勢（圖一），114年月均扣款金額較113年成長約25％。
而114年第四季月均扣款金額逾200億元，顯見定期定額業務成功提升小額投資便利性，並使投資人得以分散投資風險，成為市場參與者廣泛採用的投資方式。
在零股交易方面，114年零股交易日均成交值達86.71億元，占集中市場日均值比率約2.08％（表一），與盤中零股實施前相較，成交值年增0.59個百分點，占比亦大幅上升。
另114年與113年相較，零股交易日均值及交易占比顯著提升，漲幅分別達41.54％及39.6％，顯示零股交易成功降低投資門檻，讓特別是年輕族群和小資族能更便利參與市場。
證交所表示，盤中零股撮合間隔自113年12月2日起縮短至5秒，有效促進市場流動性，增加成交機會與效率，並顯著提升零股交易之成交值。
證交所觀察，114年參與定期定額投資的族群（表二），主要集中21～50歲的青壯年族群，總計占定期定額人數逾5成，反映年輕世代已經具備投資理財觀念，並能及早準備長期投資規劃。
而觀察投資金額分布，41～50歲年齡層的投資金額最高，占總投資金額26.53％，其次是31～40歲族群，占總投資金額23.19％，而51～60歲中年族群投資金額占比第三、占比20.8％，另20歲以下投資人投資金額雖僅占4.67％，惟投資人數占比達9.53％。
再來觀察114年盤中零股交易自然人之年齡分布（表三），20歲以下及21～30歲交易戶數占比合計25.89％，顯著高於其整股合計交易占比16.35％，且交易戶數占比最高的年齡層（31～40歲）也較大盤主力交易族群（41～50歲）年輕，充分體現制度對年輕及小資族群的吸引力，也顯示盤中零股交易制度確實有益於年輕及小資族群參與股市。
證交所指出，現行投資人參與定期定額投資，可投資標的為股票及ETF，至於標的由證券商依照各家經營策略不同而訂定不同之選定標準，惟不得包含槓桿及反向型ETF。
投資人114年定期定額ETF及股票金額比例：ETF約83％，股票約17％；就人數比例部分而言，ETF定期定額人數比例約78％，遠大於股票定期定額人數約22％，顯示定期定額投資偏好ETF。
證交所表示，將持續致力打造普惠、多元且友善的投資環境。透過定期定額和盤中零股交易等機制，有效降低投資門檻，讓投資理財不再遙不可及，將參與資本市場的機會帶給更多民眾，特別是年輕族群與小資族，為市場注入更多元且穩定的投資動能。相關成果不僅展現普惠金融政策的具體成效，也反映投資理財已逐漸融入民眾日常生活。
展望未來，證交所指出，將秉持普惠金融精神，持續傾聽市場意見，並與各方攜手合作，協助投資人建立正確的投資觀念，期能引導更多投資人參與資本市場並促進個人財富累積，共同分享及參與我國股市投資機會。"
2026.01.15 03:00,半導體業上月營收冠上櫃,"時序進入2026年，上市櫃公司2025年12月營收已全數公布，櫃買中心表示，含KY公司29家在內的上櫃公司874家，皆已於2026年1月12日以前完成營收申報作業。
據上櫃公司公告2025年12月營收顯示，12月全體上櫃公司營收總計2,965億元，較2024年同期成長271億元，增幅達10％，營收成長公司共513家，衰退公司共361家；另累計至12月全體上櫃公司營收總計3兆347億元，較2024年同期成長2,153億元，增幅達8％，其中營收成長公司共527家，衰退公司共347家，顯示上櫃公司基本面表現穩健成長。
櫃買中心表示，全體上櫃公司2025年12月營收較2024年同期成長之主要產業為半導體業、其他電子業及電子零組件業。經了解，半導體業受惠於AI應用及雲端服務需求，其他電子業受惠AI晶片及伺服器散熱需求，電子零組件業則因AI伺服器需求升溫，致本月較2024年同月營收成長。
另外，當月營收衰退主要產業為建材營造、其他及綠能環保，建材營造因依建案完工交屋進度認列收入，其他及綠能環保因承接工程案件依進度認列收入，以致該月較2024年同月營收衰退。
全體上櫃公司累計至2025年12月營收成長之主要產業為半導體業、其他電子業及電子零組件業，其累計營收成長原因同前所述。
而累計營收衰退之主要產業為建材營造、鋼鐵工業及綠能環保，建材營造及綠能環保累計營收衰退原因同前所述，鋼鐵工業因車用及不鏽鋼市場需求趨緩，致累計營收衰退。
櫃買中心亦表示，前開營收彙總資訊，投資人可至公開資訊觀測站查閱參考，網址如下：https：//mops.twse.com.tw/mops/#/web/t21sc04_ifrs（https://mops.twse.com.tw/mops/）。"
